,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm ,, Jul ,, Aug ,, Sep ,, Oct ,, Nov ,, Dec ,, Jan ,, Feb ,, Mar ,, Apr ,, May ,, Jun ,, J , A , S , O , N , D , J , F , M , A , M , J 
2023-09,Market E,Plant A,Category C,B.08490,03, 855 ,, 855 ,, 500 ,, 500 ,, 250 ,, 300 ,, 105 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,B.08482,04, 100 ,, 225 ,, 188 ,, 180 ,, 180 ,, 233 ,, 199 ,, 199 ,, 199 ,, 113 ,, 113 ,, 113 ,,113,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84874,01,,, 150 ,, 150 ,, 175 ,, 175 ,, 175 ,, 100 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category F,B.08571,03, 353 ,, 404 ,, 466 ,, 466 ,, 466 ,, 466 ,, 466 ,, 466 ,, 466 ,, 541 ,, 512 ,, 405 ,,405,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.38261,04,,, 200 ,, 200 ,, 200 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,A.04301,04, 257 ,, 238 ,, 238 ,, 238 ,, 238 ,, 238 ,, 238 ,, 238 ,, 218 ,, 150 ,, 150 ,, 150 ,,150,0,,,,,,,,,,,,
2023-08,Market E,Plant A,Category F,B.08493,01,,,,,,,,,,, -   ,, 90 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.51090,01,,, 75 ,, 75 ,, 75 ,, 75 ,, 75 ,, 75 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,B.08481,03," 1,230 ",, 557 ,," 1,313 ",," 1,371 ",," 1,397 ",," 1,613 ",," 1,401 ",," 1,382 ",," 1,207 ",," 1,124 ",," 1,124 ",," 1,124 ",,1124,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category A,A.04206,04, 604 ,, 250 ,, 250 ,, 250 ,, 150 ,, 248 ,, 270 ,, 152 ,, 152 ,, 80 ,, 80 ,, 41 ,,41,0,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.84902,03, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2024-02,Market E,Plant B,Category F,A.04569,04, 500 ,, 500 ,, 400 ,, 350 ,, 350 ,, 350 ,, 315 ,, 315 ,, 216 ,, 149 ,, 149 ,, 160 ,,160,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,A.04351,04," 1,060 ",," 1,027 ",," 1,027 ",," 1,027 ",," 1,027 ",," 1,108 ",," 1,108 ",," 1,108 ",," 1,108 ",, 718 ,, 718 ,," 1,049 ",,1049,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.36518,01,,, 75 ,, 75 ,, 75 ,, 75 ,, 75 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-11,Market E,Plant B,Category A,B.08480,01, 350 ,, 450 ,,,,,,,,,, 150 ,, 150 ,, 150 ,, 84 ,, 84 ,, 84 ,,83.7,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category A,A.04408,04, 600 ,, 603 ,, 513 ,, 445 ,, 252 ,, 180 ,, 180 ,, 167 ,, 167 ,, 115 ,, 115 ,, 115 ,,115.2,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08491,04,,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08491,04, 30 ,, 30 ,, 54 ,, 54 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2024-02,Market E,Plant A,Category B,A.04583,01, 300 ,, 300 ,, 300 ,, 300 ,, 300 ,, 450 ,, 275 ,, 110 ,, 110 ,, 57 ,, 57 ,, 132 ,,132,0,,,,,,,,,,,,
2023-12,Market E,Plant B,Category F,A.04561,03,,,,,,, -   ,," 1,000 ",," 1,000 ",, 850 ,, 850 ,, 645 ,, 600 ,, 580 ,, 494 ,,494,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category A,A.04357,04, 350 ,, 315 ,, 392 ,, 266 ,, 349 ,, 349 ,, 349 ,, 315 ,, 315 ,, 276 ,, 276 ,, 276 ,,276.3,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.07549,03,,, 34 ,, 34 ,, 34 ,, 34 ,, 51 ,, 63 ,, 63 ,, 63 ,, 48 ,, 63 ,, 48 ,,48,0,,,,,,,,,,,,
2023-11,Market E,Plant A,Category F,B.08494,03,,,,,,,,,,, 26 ,, 26 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant A,Category C,B.08493,02,,, -   ,, 150 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,B.08039,04, 194 ,, 368 ,, 216 ,, 284 ,, 235 ,, 235 ,, 235 ,, 212 ,, 212 ,, 174 ,, 174 ,, 174 ,,173.7,0,,,,,,,,,,,,
2023-08,Market E,Plant A,Category C,B.08493,01, 150 ,, 150 ,, 85 ,, 85 ,, 85 ,, 85 ,, 85 ,, 85 ,, 85 ,, 43 ,, 43 ,, 43 ,,43,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57260,01, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57261,01, 50 ,, 50 ,, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,A.04107,04,,,,, 250 ,, 250 ,, 250 ,, 250 ,, 250 ,, 250 ,, 154 ,, 125 ,, 125 ,, 125 ,,125,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84874,01, 150 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.84891,04, 25 ,, -   ,, 25 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.84893,04, 180 ,, 180 ,, 180 ,, 180 ,, 180 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.84896,04, 135 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84901,01, 45 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84901,01, -   ,, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.84907,04, 180 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.84908,01, 250 ,, 250 ,, 250 ,, 250 ,, 250 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.84909,04, 75 ,, 75 ,, 75 ,, 75 ,, 75 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84911,01, 25 ,, 25 ,, 25 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.90417,03," 1,500 ",, 500 ,, 500 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.xxxxx,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.xxxxx,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.xxxxx,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,B.08481,03,,,,,,,,, 350 ,, 225 ,, 180 ,, 180 ,, 102 ,, 84 ,, 84 ,, 84 ,,83.7,0,,,,,,,,,,,,
2024-05,Market E,Plant B,Category A,A.04629,01,,,,,,,,,,, 75 ,, 75 ,, 125 ,, 43 ,, 26 ,, 26 ,, 47 ,,47,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,B.07557,01,,, 9 ,, 9 ,, 9 ,, 9 ,, 9 ,, 10 ,, 10 ,, 10 ,, 10 ,, 10 ,, 10 ,,10,0,,,,,,,,,,,,
,Market E,Plant D,Category C,GRA,02,,,,,,,,,,,,,,,,,,,,,,, 57 ,,57,0,,,,,,,,,,,,
2023-07,Market E,Plant D,Category C,A.04314,02," 2,160 ",," 1,080 ",," 1,000 ",," 1,000 ",," 1,000 ",, 45 ,, 250 ,, 231 ,, 231 ,, 200 ,, 200 ,, 6 ,,6,0,,,,,,,,,,,,
2023-12,Market E,Plant B,Category F,A.04553,03,,, -   ,, 300 ,, 300 ,, 503 ,, 503 ,, 450 ,, 405 ,, 400 ,, 387 ,, 377 ,, 450 ,,450,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category A,A.04048,04, 200 ,, 279 ,, 270 ,, 289 ,, 342 ,, 342 ,, 342 ,, 342 ,, 270 ,, 258 ,, 258 ,, 258 ,,258.3,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08022,03, 281 ,, 709 ,, 715 ,, 698 ,, 685 ,, 683 ,, 675 ,, 675 ,, 675 ,, 625 ,, 625 ,, 564 ,,564,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.61071,04,,,,,,,,,,,,, 150 ,, 140 ,, 36 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category F,B.07566,04,,, 200 ,, 100 ,, 39 ,, 39 ,, 39 ,, 39 ,, 38 ,, 77 ,, 77 ,, 77 ,, 77 ,,77,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category C,B.08031,01, 369 ,, 225 ,, 225 ,, 225 ,, 225 ,, 225 ,, 225 ,, 225 ,, 225 ,, 198 ,, 198 ,, 181 ,,181,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,B.08023,04,,,,,,,,, -   ,, -   ,, -   ,, -   ,, -   ,, 55 ,, 55 ,, 57 ,,57,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,B.08038,04,,,,, 23 ,, 11 ,, 4 ,, 4 ,, 19 ,, 20 ,, 20 ,, 20 ,, 20 ,, 20 ,,20,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category F,B.08478,03,,,,,,,,,,,,, 193 ,, 193 ,, 167 ,, 157 ,, 157 ,, 171 ,,171,0,,,,,,,,,,,,
2023-11,Market E,Plant D,Category F,B.08526,04,,,,,,,,, 300 ,, 300 ,, 486 ,, 489 ,, 489 ,, 340 ,, 340 ,, 292 ,,292,0,,,,,,,,,,,,
,Market E,Plant D,Category C,GRA,01,,,,,,,,,,,,,,,,,,,,,,, (12),,-12,0,,,,,,,,,,,,
2023-07,Market E,Plant D,Category C,A.04348,01, 405 ,, 149 ,, 149 ,, 149 ,, 149 ,, 149 ,, 149 ,, 154 ,, 154 ,, 154 ,, 154 ,, 149 ,,149,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.50674,01, 150 ,, 150 ,, 150 ,, 150 ,, 150 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.51080,01, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.17811,04, 350 ,, 250 ,, 225 ,, 225 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.36518,01, 75 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,B.08482,04, 450 ,, 250 ,, 225 ,, 225 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.30979,01, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58400,04, 15 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58401,04, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.60737,03, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.60763,03, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.61071,03, 200 ,, 100 ,, 150 ,, 150 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.xxxxx,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.xxxxx,04, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.xxxxx,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category A,B.07559,01, 175 ,, 160 ,, 162 ,, 69 ,, 45 ,, 45 ,, 71 ,, 71 ,, 71 ,, 77 ,, 77 ,, 77 ,,76.5,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category F,B.08036,03, 25 ,, 25 ,, 245 ,, 252 ,, 262 ,, 267 ,, 267 ,, 277 ,, 283 ,, 283 ,, 297 ,, 289 ,,289,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,B.08023,04, 248 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, 218 ,, 218 ,, 182 ,, 182 ,, 182 ,,182,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category F,B.08478,03, 934 ,, 983 ,, 700 ,, 800 ,, 800 ,, 800 ,, 361 ,, 441 ,, 422 ,, 439 ,, 352 ,, 315 ,,315,0,,,,,,,,,,,,
2023-08,Market E,Plant A,Category C,B.08493,01,,, -   ,, 90 ,, 81 ,, 81 ,, 81 ,, 81 ,, 81 ,, 81 ,, 56 ,, 56 ,, 59 ,,59,0,,,,,,,,,,,,
2023-08,Market E,Plant A,Category C,B.08493,02,,, -   ,, 180 ,, 98 ,, 95 ,, 95 ,, 95 ,, 95 ,, 95 ,, 64 ,, 71 ,, 64 ,,64,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08023,04, 77 ,, 455 ,, 455 ,, 455 ,, 446 ,, 391 ,, 395 ,, 177 ,, 177 ,, 113 ,, 113 ,, 118 ,,118,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category C,A.04170,01,,, -   ,, 184 ,, 184 ,, 182 ,, 182 ,, 182 ,, 185 ,, 190 ,, 215 ,, 224 ,, 234 ,,234,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.31001,03,,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category F,B.08037,03, 17 ,," 1,150 ",, 533 ,, 513 ,, 675 ,, 774 ,, 623 ,, 591 ,, 570 ,, 615 ,, 615 ,, 615 ,,615,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.51085,01, 50 ,, 50 ,, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,B.08030,01, 252 ,, 189 ,, 189 ,, 189 ,, 189 ,, 183 ,, 188 ,, 188 ,, 188 ,, 188 ,, 188 ,, 180 ,,180,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.51090,01, 75 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.54067,01, 405 ,, 405 ,, 338 ,, 338 ,, 138 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.xxxxx,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-11,Market E,Plant D,Category C,B.08527,01, 150 ,, 60 ,, 70 ,, 70 ,, 70 ,, 70 ,, 70 ,, 70 ,, 70 ,, 70 ,, 70 ,, 105 ,,105,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category C,A.04151,01, 165 ,, 60 ,, 60 ,, 48 ,, 48 ,, 48 ,, 48 ,, 48 ,, 48 ,, 48 ,, 48 ,, 48 ,,48,0,,,,,,,,,,,,
2023-09,Market E,Plant A,Category F,B.08490,03," 1,738 ",," 1,245 ",," 1,446 ",," 1,451 ",," 1,465 ",," 1,405 ",," 1,340 ",," 1,506 ",," 1,506 ",," 1,588 ",," 1,508 ",," 1,447 ",,1447,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category C,B.08033,01,,, -   ,, 60 ,, 60 ,, 60 ,, 60 ,, 60 ,, 60 ,, 51 ,, 51 ,, 51 ,, 51 ,,51,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category C,B.07558,01, 90 ,, 60 ,, 60 ,, 60 ,, 60 ,, 63 ,, 53 ,, 53 ,, 53 ,, 53 ,, 53 ,, 53 ,,53,0,,,,,,,,,,,,
2023-08,Market E,Plant B,Category F,B.07563,03,,,,, 35 ,, 48 ,, 48 ,, 48 ,, 51 ,, 51 ,, 68 ,, 68 ,, 64 ,, 64 ,,64,0,,,,,,,,,,,,
2023-08,Market E,Plant A,Category C,B.08493,01,,, -   ,, 90 ,, 99 ,, 99 ,, 63 ,, 63 ,, 63 ,, 63 ,, 64 ,, 64 ,, 57 ,,57,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08491,04,,, -   ,, 70 ,, 70 ,, 70 ,, 70 ,, 70 ,, 180 ,, 180 ,, 102 ,, 102 ,, 101 ,,101,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08491,04, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 150 ,, 260 ,, 250 ,, 225 ,, 157 ,,157,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,B.08491,04, -   ,, 360 ,, 270 ,, 203 ,, 184 ,, 184 ,, 166 ,, 166 ,, 166 ,, 163 ,, 163 ,, 170 ,,170,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08491,04, 743 ,, 722 ,, 441 ,, 464 ,, 600 ,, 695 ,, 764 ,, 651 ,, 651 ,, 568 ,, 568 ,, 491 ,,491,0,,,,,,,,,,,,
2024-01,Market E,Plant D,Category F,B.08002,03,,,,,,,,,,,,,,, 226 ,, 226 ,, 105 ,, 204 ,, 107 ,,107,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category A,B.08032,01, 103 ,, 88 ,, 54 ,, 54 ,, 54 ,, 27 ,, 27 ,, 27 ,, 27 ,, 27 ,, 27 ,, 27 ,,27,0,,,,,,,,,,,,
2024-01,Market E,Plant D,Category F,B.08522,03,,,,,,,,,,,,,,, 368 ,, 368 ,, 250 ,, 250 ,, 362 ,,362,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.XXXXX,03,,,,,,,,,,,,,,,,,,,,,,, 105 ,,105,0,,,,,,,,,,,,
2023-09,Market E,Plant B,Category A,A.03712,02,,,,,,, 25 ,, 25 ,, 25 ,, 25 ,, 25 ,, 25 ,, 25 ,, 25 ,, 25 ,,25,0,,,,,,,,,,,,
2024-03,Market E,Plant D,Category F,B.07531,04,,,,,,,,,,,,,,,,,,, (92),, (92),, (101),,-101,0,,,,,,,,,,,,
2024-01,Market E,Plant D,Category F,B.08004,04,,,,,,,,,,,,,,, 97 ,, 97 ,, 151 ,, 151 ,, 139 ,,139,0,,,,,,,,,,,,
2024-05,Market E,Plant D,Category F,AE,03,,,,,,,,,,,,,,,,,,,,,,, 119 ,,119,0,,,,,,,,,,,,
2023-07,Market E,Plant D,Category C,A.03699,02, 10 ,, 10 ,, -   ,, 10 ,, 10 ,, 10 ,, 10 ,, 10 ,, 10 ,, 10 ,, 10 ,, -   ,,0,0,,,,,,,,,,,,
2023-11,Market E,Plant A,Category B,B.08492,01,,,,,,,,,,, 35 ,, 35 ,, 35 ,, 35 ,, 35 ,, 35 ,, 32 ,,32,0,,,,,,,,,,,,
,Market E,Plant A,Category C,GRA,02,,,,,,,,,,,,,,,,,,,,,,, 28 ,,28,0,,,,,,,,,,,,
,Market E,Plant A,Category C,GRA,01,,,,,,,,,,,,,,,,,,,,,,, (32),,-32,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.XXXXX,03,,,,,,,,,,,,,,,,,,, 180 ,, 180 ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.XXXXX,03,,,,,,,,,,,,,,,,,,, 90 ,, 90 ,, -   ,,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ," 85,815 ",," 70,547 ",," 70,690 ",," 70,153 ",," 66,152 ",," 65,694 ",," 63,722 ",," 60,322 ",," 60,078 ",," 58,395 ",," 56,684 ",," 56,075 ",,56075,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
